target, ip, data bytes, bytes, packets transmitted, received, packet loss, time, rtt min, rtt avg, rtt max, rtt mdev, ipg, ewma
10.0.11.122, 10.0.11.122, 100, 128, 100, 96, 4, 136, 0.392, 0.965, 2.818, 0.627, 1.376, 1.000
10.0.11.122, 10.0.11.122, 200, 228, 100, 97, 3, 146, 0.543, 1.177, 2.971, 0.659, 1.477, 1.315
10.0.11.122, 10.0.11.122, 300, 328, 100, 100, 0, 132, 0.705, 1.298, 2.323, 0.555, 1.338, 1.218
10.0.11.122, 10.0.11.122, 400, 428, 100, 98, 2, 169, 0.863, 1.512, 3.828, 0.707, 1.714, 1.520
10.0.11.122, 10.0.11.122, 500, 528, 100, 100, 0, 169, 1.040, 1.675, 4.106, 0.615, 1.716, 1.529
10.0.11.122, 10.0.11.122, 600, 628, 100, 100, 0, 181, 1.197, 1.809, 4.237, 0.630, 1.835, 1.851
10.0.11.122, 10.0.11.122, 700, 728, 100, 100, 0, 198, 1.345, 1.961, 2.998, 0.505, 2.003, 1.909
10.0.11.122, 10.0.11.122, 800, 828, 100, 99, 1, 240, 1.522, 2.207, 4.511, 0.740, 2.431, 2.355
10.0.11.122, 10.0.11.122, 900, 928, 100, 95, 5, 326, 1.688, 2.465, 4.853, 0.728, 3.302, 2.664
10.0.11.122, 10.0.11.122, 1000, 1028, 100, 92, 8, 419, 1.846, 2.715, 5.180, 0.796, 4.241, 2.552
10.0.11.122, 10.0.11.122, 1100, 1128, 100, 90, 10, 432, 2.012, 2.739, 5.034, 0.760, 4.367, 2.616
10.0.11.122, 10.0.11.122, 1200, 1228, 100, 98, 2, 335, 2.170, 2.990, 4.888, 0.644, 3.386, 2.877
10.0.11.122, 10.0.11.122, 1300, 1328, 100, 87, 13, 496, 2.319, 3.210, 8.342, 0.832, 5.011, 3.127
10.0.11.122, 10.0.11.122, 1400, 1428, 100, 89, 11, 486, 2.494, 3.539, 6.432, 0.893, 4.915, 3.416
