target, ip, data bytes, bytes, packets transmitted, received, packet loss, time, rtt min, rtt avg, rtt max, rtt mdev, ipg, ewma
caliu.cat, 147.83.91.172, 100, 128, 100, 96, 4, 268, 1.064, 2.110, 4.476, 0.535, 2.709, 1.972
caliu.cat, 147.83.91.172, 200, 228, 100, 74, 26, 566, 1.408, 2.897, 4.618, 0.804, 5.718, 2.591
caliu.cat, 147.83.91.172, 300, 328, 100, 83, 17, 446, 1.613, 2.515, 5.799, 0.826, 4.510, 2.117
caliu.cat, 147.83.91.172, 400, 428, 100, 100, 0, 276, 1.893, 2.749, 4.099, 0.393, 2.790, 2.754
caliu.cat, 147.83.91.172, 500, 528, 100, 100, 0, 287, 1.949, 2.859, 3.922, 0.312, 2.906, 2.766
caliu.cat, 147.83.91.172, 600, 628, 100, 99, 1, 316, 2.541, 2.975, 3.646, 0.151, 3.194, 2.965
caliu.cat, 147.83.91.172, 700, 728, 100, 100, 0, 302, 2.460, 3.012, 4.962, 0.359, 3.052, 2.974
caliu.cat, 147.83.91.172, 800, 828, 100, 100, 0, 302, 2.552, 3.019, 4.304, 0.279, 3.055, 2.982
caliu.cat, 147.83.91.172, 900, 928, 100, 100, 0, 331, 2.693, 3.315, 4.933, 0.517, 3.350, 3.661
caliu.cat, 147.83.91.172, 1000, 1028, 100, 100, 0, 391, 2.946, 3.899, 7.490, 0.536, 3.951, 3.895
caliu.cat, 147.83.91.172, 1100, 1128, 100, 98, 2, 406, 3.008, 3.925, 7.132, 0.541, 4.107, 3.922
caliu.cat, 147.83.91.172, 1200, 1228, 100, 100, 0, 397, 3.154, 3.966, 6.876, 0.434, 4.015, 3.886
caliu.cat, 147.83.91.172, 1300, 1328, 100, 100, 0, 397, 3.388, 3.969, 4.935, 0.230, 4.016, 3.967
caliu.cat, 147.83.91.172, 1400, 1428, 100, 100, 0, 408, 3.534, 4.088, 8.900, 0.588, 4.126, 3.976
