target, ip, data bytes, bytes, packets transmitted, received, packet loss (%), time (all in ms), rtt min, rtt avg, rtt max, rtt mdev, ipg, ewma, pipe
codeforces.com, 212.193.33.27, 100, 128, 100, 99, 1, 1197, 108.366, 109.050, 110.428, 0.565, 12.099, 109.028, 10
codeforces.com, 212.193.33.27, 200, 228, 100, 97, 3, 1244, 108.412, 109.083, 109.852, 0.530, 12.570, 109.319, 10
codeforces.com, 212.193.33.27, 300, 328, 100, 99, 1, 1186, 108.748, 109.261, 113.693, 0.618, 11.987, 109.398, 10
codeforces.com, 212.193.33.27, 400, 428, 100, 97, 3, 1187, 108.929, 109.388, 110.480, 0.515, 11.991, 109.491, 10
codeforces.com, 212.193.33.27, 500, 528, 100, 97, 3, 1186, 109.108, 109.318, 110.528, 0.492, 11.981, 109.443, 10
codeforces.com, 212.193.33.27, 600, 628, 100, 98, 2, 1221, 109.232, 109.650, 114.565, 0.837, 12.342, 109.806, 10
codeforces.com, 212.193.33.27, 700, 728, 100, 82, 18, 1241, 109.445, 110.251, 111.094, 0.622, 12.540, 110.165, 10
codeforces.com, 212.193.33.27, 800, 828, 100, 82, 18, 1264, 109.596, 110.365, 111.670, 0.533, 12.770, 110.433, 10
codeforces.com, 212.193.33.27, 900, 928, 100, 78, 22, 1266, 109.770, 110.599, 114.983, 0.617, 12.790, 110.776, 10
codeforces.com, 212.193.33.27, 1000, 1028, 100, 72, 28, 1303, 110.005, 111.248, 117.477, 1.450, 13.163, 112.875, 10
codeforces.com, 212.193.33.27, 1100, 1128, 100, 3, 97, 1186, 111.483, 111.626, 111.819, 0.141, 11.983, 111.535, 10
codeforces.com, 212.193.33.27, 1200, 1228, 100, 88, 12, 1191, 110.194, 111.034, 122.300, 1.745, 12.030, 112.261, 11
codeforces.com, 212.193.33.27, 1300, 1328, 100, 0, 100, 1196,,,,,,
codeforces.com, 212.193.33.27, 1400, 1328, 100, 55, 45, 1270, 110.632, 112.483, 116.548, 1.130, 12.832, 112.589, 10
