target, ip, data bytes, bytes, packets transmitted, received, packet loss (%), time (all in ms), rtt min, rtt avg, rtt max, rtt mdev, ipg, ewma, pipe
google.com, 216.58.211.46, 100, 128, 100, 82, 18, 1231, 10.628, 12.134, 27.586, 1.880, 12.439, 13.912, 3
google.com, 216.58.211.46, 200, 228, 100, 61, 39, 1270, 10.872, 16.029, 61.790, 9.937, 12.835, 17.336, 6
google.com, 216.58.211.46, 300, 328, 100, 29, 71, 1208, 10.799, 13.374, 26.730, 3.141, 12.202, 13.009, 3
google.com, 216.58.211.46, 400, 428, 100, 34, 66, 1225, 10.686, 14.223, 29.704, 4.672, 12.383, 16.018, 3
google.com, 216.58.211.46, 500, 528, 100, 44, 56, 1252, 10.639, 14.457, 47.608, 6.721, 12.653, 12.783, 4
google.com, 216.58.211.46, 600, 628, 100, 58, 42, 1199, 10.769, 12.796, 16.802, 1.343, 12.114, 12.544, 2
google.com, 216.58.211.46, 700, 728, 100, 52, 48, 1201, 11.103, 12.784, 18.734, 1.102, 12.136, 12.685, 2
google.com, 216.58.211.46, 800, 828, 100, 48, 52, 1285, 11.420, 12.518, 13.686, 0.560, 12.981, 12.431, 2
google.com, 216.58.211.46, 900, 928, 100, 55, 45, 1219, 11.422, 12.633, 13.935, 0.657, 12.315, 12.631, 2
google.com, 216.58.211.46, 1000, 1028, 100, 55, 45, 1187, 11.737, 12.541, 13.892, 0.540, 11.991, 12.422, 2
google.com, 216.58.211.46, 1100, 1128, 100, 64, 36, 1190, 11.645, 12.472, 13.827, 0.565, 12.026, 12.471, 2
google.com, 216.58.211.46, 1200, 1228, 100, 65, 35, 1216, 11.564, 12.861, 15.998, 0.903, 12.286, 12.743, 2
google.com, 216.58.211.46, 1300, 1328, 100, 64, 36, 1195, 11.564, 13.080, 15.814, 0.851, 12.073, 13.105, 2
google.com, 216.58.211.46, 1400, 1428, 100, 68, 32, 1197, 11.684, 13.510, 17.165, 0.624, 12.097, 13.468, 2
